,CropType,CropDays,SoilMoisture,temperature,Humidity,Irrigation
202,3,123,96,16,23,1
203,3,125,68,17,24,0
204,3,127,36,16,31,0
205,3,131,124,23,9,1
206,3,133,96,17,11,1
207,3,135,36,12,24,0
208,3,137,47,11,28,0
209,3,140,149,25,7,1
210,3,143,41,11,8,0
211,3,145,95,17,8,1
212,3,147,44,16,23,0
213,3,150,93,20,9,1
214,3,153,78,17,8,1
215,3,155,36,16,21,0
216,3,157,90,20,8,1
217,3,159,36,13,1,0
218,3,161,31,11,3,0
219,3,2,73,19,8,1
220,4,0,61,17,6,1
221,4,86,86,20,5,1
222,4,97,14,19,5,0
223,4,119,88,15,3,1
224,4,130,49,8,8,0
225,4,152,76,11,3,1
226,4,1,11,12,2,0
227,4,20,101,20,4,1
228,4,28,28,11,14,0
229,4,41,123,17,7,1
230,4,47,13,16,16,0
231,4,59,124,17,14,1
232,4,65,41,6,5,0
233,4,76,144,22,1,1
234,4,78,76,26,0,1
235,4,80,49,12,14,0
236,4,81,38,12,13,0
237,4,83,110,26,1,1
238,4,84,86,26,1,1
239,4,87,45,14,19,0
240,4,88,0,12,19,0
241,4,90,122,21,1,1
242,4,91,38,20,1,0
243,4,93,133,19,4,1
244,4,94,31,19,3,0
245,4,98,149,19,3,1
246,4,100,86,27,1,1
247,4,102,0,11,23,0
248,4,105,96,22,1,1
249,4,109,149,22,3,1
250,4,110,4,22,4,0
251,4,113,159,28,22,1
252,4,115,41,19,3,0
253,4,118,162,28,3,1
254,4,121,49,16,15,0
255,4,124,151,17,13,1
256,4,126,86,16,8,1
257,4,131,158,17,9,1
258,4,133,51,11,28,0
259,4,136,166,18,3,1
260,4,138,107,17,23,1
261,4,140,49,11,31,0
262,4,143,86,20,9,1
263,4,145,49,11,23,0
264,4,148,146,15,10,1
265,4,150,40,11,23,0
266,4,153,49,11,31,0
267,4,156,86,11,14,1
268,4,158,41,14,18,0
269,4,161,68,16,23,1
270,4,2,76,12,25,1
271,5,0,113,6,42,1
272,5,86,22,6,50,0
273,5,108,64,4,47,0
274,5,130,121,4,50,1
275,5,152,2,3,50,0
276,5,10,66,2,48,0
277,5,28,122,1,50,1
278,5,41,25,4,46,0
279,5,47,66,5,47,0
280,5,59,121,7,42,1
281,5,70,25,5,47,0
282,5,78,58,1,52,0
283,5,80,79,2,50,0
284,5,82,116,4,50,1
285,5,84,22,5,49,0
286,5,87,41,4,47,0
287,5,89,68,3,48,0
288,5,91,87,2,51,0
289,5,93,135,4,47,1
290,5,95,19,5,49,0
291,5,98,47,4,47,0
292,5,100,68,2,49,0
293,5,102,95,4,46,0
294,5,104,145,3,47,1
295,5,106,12,5,50,0
296,5,109,47,3,47,0
297,5,111,80,2,43,0
298,5,113,100,1,50,0
299,5,115,156,3,48,1
300,5,117,7,2,50,0
301,5,120,59,2,50,0
302,5,122,89,1,47,0
303,5,124,148,0,50,1
304,5,126,13,4,47,0
305,5,128,50,3,49,0
306,5,131,89,5,47,0
307,5,133,129,6,43,1
308,5,135,16,3,47,0
309,5,137,68,4,43,0
310,5,137,100,3,50,0
311,5,139,147,5,46,1
312,5,142,19,3,48,0
313,5,144,41,2,50,0
314,5,146,84,1,49,0
315,5,148,97,1,51,0
316,5,150,147,4,47,1
317,5,153,20,3,46,0
318,5,155,53,3,46,0
319,5,157,68,2,50,0
320,5,159,89,4,47,0
321,5,161,149,2,46,1
322,5,2,10,3,44,0
323,5,4,49,4,46,0
324,5,6,96,5,44,0
325,5,8,149,4,49,1
326,5,9,25,7,47,0
327,5,11,63,6,46,0
328,5,13,103,5,45,0
329,5,15,155,5,44,1
330,6,0,96,17,18,1
331,6,86,68,16,12,0
332,6,119,113,17,8,1
333,6,141,65,15,9,0
334,6,10,119,17,12,1
335,6,28,67,15,18,0
336,6,47,144,17,7,1
337,6,59,76,12,8,0
338,6,78,159,11,8,1
339,6,80,75,15,23,0
340,6,83,110,17,24,1
341,6,85,75,15,10,0
342,6,89,115,17,15,1
343,6,93,112,17,13,1
344,6,95,66,14,18,0
345,6,98,86,11,24,0
346,6,100,118,17,8,1
347,6,103,127,17,8,1
348,7,0,93,9,49,1
349,7,86,36,7,52,0
350,7,108,61,5,60,0
351,7,130,124,4,52,1
352,7,152,10,2,54,0
353,7,10,57,4,50,0
354,7,28,117,2,56,1
355,7,41,13,4,52,0
356,7,54,41,5,52,0
357,7,65,76,1,60,0
358,7,76,121,5,52,1
359,7,79,16,4,47,0
360,7,81,68,4,52,0
361,7,83,121,6,47,1
362,7,85,24,4,59,0
363,7,88,41,2,52,0
364,7,90,76,1,60,0
365,7,92,121,3,58,1
366,7,94,15,4,52,0
367,7,96,48,2,52,0
368,7,99,68,1,60,0
369,7,101,124,6,60,1
370,7,103,3,4,52,0
371,7,105,31,3,52,0
372,7,107,75,4,47,0
373,7,110,121,5,47,1
374,7,111,8,4,52,0
375,7,113,38,3,52,0
376,7,115,69,4,51,0
377,7,117,117,6,47,1
378,7,120,5,5,42,0
379,7,122,41,3,50,0
380,7,124,65,2,52,0
381,7,126,100,5,47,1
382,7,128,8,4,62,0
383,7,131,47,3,60,0
384,7,133,68,5,52,0
385,7,135,104,4,53,1
386,7,137,2,2,60,0
387,7,139,41,3,57,0
388,7,142,68,2,53,0
389,7,144,104,7,47,1
390,7,146,4,3,50,0
391,7,148,93,7,52,1
392,7,150,8,7,50,0
393,7,153,65,8,50,0
394,7,155,96,8,47,1
395,7,157,23,7,47,0
396,7,159,41,5,49,0
397,7,161,68,7,47,0
398,7,2,114,5,51,1
399,7,4,4,6,46,0
400,7,6,68,8,42,0
401,7,8,138,10,41,1
402,7,9,26,7,42,0
403,7,11,82,8,40,0
404,7,13,152,10,38,1
405,7,14,27,11,36,0
406,7,16,77,11,35,0
407,7,18,139,12,35,1
408,7,21,25,11,34,0
409,7,23,80,12,33,0
410,7,24,137,15,31,1
411,7,26,33,17,32,0
412,7,27,99,15,28,0
413,7,29,147,14,33,1
414,7,30,32,12,32,0
415,7,31,106,15,31,0
416,7,32,147,16,32,1
417,7,33,37,16,31,0
418,7,35,92,18,28,0
419,7,36,157,19,27,1
420,7,37,31,17,27,0
421,7,39,100,16,24,0
422,7,40,160,18,23,1
423,7,42,38,18,21,0
424,7,43,97,17,14,0
425,7,44,155,19,17,1
426,7,45,25,15,24,0
427,7,46,55,12,25,0
428,7,48,96,15,23,0
429,7,49,164,19,17,1
430,7,50,18,21,10,0
431,7,53,98,21,9,0
432,7,55,167,18,8,1
433,7,56,2,17,18,0
434,7,57,99,19,10,0
435,7,58,155,18,8,1
436,7,60,21,17,8,0
437,7,61,96,18,6,0
438,7,62,176,22,4,1
439,7,63,22,17,8,0
440,7,64,47,14,9,0
441,7,66,96,12,13,0
442,7,67,156,11,10,1
443,7,68,22,7,13,0
444,7,71,52,6,15,0
445,7,72,84,3,17,0
446,7,73,171,6,12,1
447,7,74,19,6,14,0
448,7,75,79,7,17,0
449,7,77,136,8,8,1
450,0,0,117,10,19,1
451,0,86,25,8,18,0
452,0,108,71,9,17,0
453,0,130,127,7,9,1
454,0,152,32,9,9,0
455,0,10,97,14,5,1
456,0,28,36,12,4,0
457,0,41,91,10,6,1
458,0,54,38,7,5,0
459,0,65,97,9,4,1
460,0,76,32,11,5,0
461,0,79,96,7,6,1
462,0,81,31,10,7,0
463,0,83,96,12,4,1
464,0,85,32,14,5,0
465,0,88,109,11,5,1
466,0,90,59,14,4,0
467,0,92,126,15,4,1
468,0,94,60,15,3,0
469,0,96,132,14,6,1
470,0,99,52,12,5,0
471,0,101,129,11,4,1
472,0,103,37,9,6,0
473,0,105,100,12,8,1
474,0,107,35,8,7,0
475,0,110,70,6,8,0
476,0,112,155,10,5,1
477,0,114,37,9,7,0
478,0,116,126,11,6,1
479,0,118,36,8,3,0
480,0,121,67,6,8,0
481,0,123,157,8,8,1
482,0,125,32,10,5,0
483,0,127,76,12,8,0
484,0,129,155,14,5,1
485,0,132,29,11,6,0
486,0,134,74,10,4,0
487,0,136,142,9,5,1
488,0,138,41,8,7,0
489,0,140,81,7,6,0
490,0,143,141,8,4,1
491,0,145,29,9,7,0
492,0,147,85,8,6,0
493,0,149,140,10,7,1
494,0,151,31,7,5,0
495,0,154,63,9,7,0
496,0,156,153,11,8,1
497,0,158,31,9,6,0
498,0,160,85,11,7,0
499,0,162,155,10,7,1
500,0,3,29,7,3,0
