,CropType,CropDays,SoilMoisture,temperature,Humidity,Irrigation
403,7,11,82,8,40,0
398,7,2,114,5,51,1
285,5,84,22,5,49,0
412,7,27,99,15,28,0
371,7,105,31,3,52,0
325,5,8,149,4,49,1
364,7,90,76,1,60,0
44,8,138,96,7,3,0
65,8,17,175,11,21,1
283,5,80,79,2,50,0
384,7,133,68,5,52,0
12,8,65,143,16,43,0
35,8,114,159,5,1,0
28,8,96,76,9,10,0
399,7,4,4,6,46,0
342,6,89,115,17,15,1
51,8,150,177,8,4,1
373,7,110,121,5,47,1
391,7,148,93,7,52,1
41,8,126,159,11,6,1
436,7,60,21,17,8,0
388,7,142,68,2,53,0
282,5,78,58,1,52,0
4,8,69,159,9,23,0
449,7,77,136,8,8,1
428,7,48,96,15,23,0
423,7,42,38,18,21,0
292,5,100,68,2,49,0
61,8,9,70,9,21,0
47,8,144,168,9,7,1
32,8,104,61,6,3,0
327,5,11,63,6,46,0
447,7,74,19,6,14,0
27,8,94,159,17,11,1
390,7,146,4,3,50,0
288,5,91,87,2,51,0
426,7,45,25,15,24,0
62,8,11,180,19,23,1
8,8,10,1,3,31,0
326,5,9,25,7,47,0
64,8,15,163,16,27,1
300,5,117,7,2,50,0
14,8,54,89,9,54,0
40,8,125,149,9,4,0
379,7,122,41,3,50,0
404,7,13,152,10,38,1
279,5,47,66,5,47,0
431,7,53,98,21,9,0
337,6,59,76,12,8,0
295,5,106,12,5,50,0
303,5,124,148,0,50,1
350,7,108,61,5,60,0
43,8,135,133,9,4,0
401,7,8,138,10,41,1
309,5,137,68,4,43,0
53,8,154,166,14,8,1
389,7,144,104,7,47,1
1,8,130,28,17,21,0
442,7,67,156,11,10,1
49,8,147,158,8,7,1
419,7,36,157,19,27,1
34,8,109,86,5,1,0
427,7,46,55,12,25,0
366,7,94,15,4,52,0
339,6,80,75,15,23,0
52,8,153,61,12,7,0
345,6,98,86,11,24,0
13,8,47,41,15,53,0
315,5,148,97,1,51,0
387,7,139,41,3,57,0
273,5,108,64,4,47,0
328,5,13,103,5,45,0
306,5,131,89,5,47,0
319,5,157,68,2,50,0
54,8,156,86,11,7,0
363,7,88,41,2,52,0
50,8,149,61,7,3,0
445,7,72,84,3,17,0
58,8,4,41,17,18,0
48,8,147,61,11,8,0
344,6,95,66,14,18,0
21,8,82,28,8,23,0
313,5,144,41,2,50,0
276,5,10,66,2,48,0
443,7,68,22,7,13,0
385,7,135,104,4,53,1
293,5,102,95,4,46,0
413,7,29,147,14,33,1
343,6,93,112,17,13,1
308,5,135,16,3,47,0
359,7,79,16,4,47,0
372,7,107,75,4,47,0
330,6,0,96,17,18,1
20,8,81,159,27,19,1
71,8,35,86,9,16,0
348,7,0,93,9,49,1
435,7,58,155,18,8,1
